USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         417  0.0  0.0      0     0 ?        S    déc.01   0:02 [jbd2/sda2-8]
root         418  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-ext4-rsv-conversion]
root         485  0.0  0.1 101644 46676 ?        Ss   déc.01   0:10 /usr/lib/systemd/systemd-journald
root         498  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-tls-strp]
root         509  0.0  0.0  40716 14764 ?        Ss   déc.01   0:00 /usr/lib/systemd/systemd-udevd
root         531  0.0  0.0      0     0 ?        S    déc.01   0:00 [psimon]
root         728  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-cfg80211]
root         730  0.0  0.0      0     0 ?        S    déc.01   0:09 [irq/196-iwlwifi:default_queue]
root         731  0.0  0.0      0     0 ?        S    déc.01   0:33 [irq/197-iwlwifi:queue_1]
root         732  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/198-iwlwifi:queue_2]
root         733  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/199-iwlwifi:queue_3]
root         734  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/200-iwlwifi:queue_4]
root         735  0.0  0.0      0     0 ?        S    déc.01   0:01 [irq/201-iwlwifi:queue_5]
root         736  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/202-iwlwifi:queue_6]
root         737  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/203-iwlwifi:queue_7]
root         738  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/204-iwlwifi:queue_8]
root         739  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/205-iwlwifi:queue_9]
root         740  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/206-iwlwifi:queue_10]
root         741  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/207-iwlwifi:queue_11]
root         742  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/208-iwlwifi:queue_12]
root         743  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/209-iwlwifi:exception]
root        1014  0.0  0.0   8388  6272 ?        Ss   déc.01   0:00 /usr/sbin/haveged --Foreground --verbose=1
root        1046  0.0  0.0      0     0 ?        S    déc.01   0:00 [nv_queue]
root        1047  0.0  0.0      0     0 ?        S    déc.01   0:00 [nv_queue]
root        1048  0.0  0.0      0     0 ?        S    déc.01   0:00 [nv_open_q]
root        1062  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-rpciod]
root        1063  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-xprtiod]
root        1079  0.0  0.0      0     0 ?        S    déc.01   0:00 [nvidia-modeset/kthread_q]
root        1080  0.0  0.0      0     0 ?        S    déc.01   0:00 [nvidia-modeset/deferred_close_kthread_q]
root        1098  0.0  0.0 309444  7724 ?        Ssl  déc.01   0:02 /usr/libexec/accounts-daemon
root        1100  0.0  0.0  13488  7456 ?        Ss   déc.01   0:01 /usr/libexec/bluetooth/bluetoothd
_chrony     1102  0.0  0.0  20092  5660 ?        Ss   déc.01   0:00 /usr/sbin/chronyd -n -F 1
root        1105  0.0  0.0   6812  2788 ?        Ss   déc.01   0:00 /usr/sbin/cron -f
message+    1107  0.0  0.0  12300  9004 ?        Ss   déc.01   0:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd     1113  0.0  0.0 387572 12704 ?        Ssl  déc.01   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root        1115  0.0  0.0 219716  5380 ?        Ssl  déc.01   0:02 /usr/sbin/rsyslogd -n -iNONE
root        1119  0.0  0.0  10148  5984 ?        Ss   déc.01   0:00 /usr/sbin/smartd -n
root        1121  0.0  0.1 2514752 45624 ?       Ssl  déc.01   0:01 /usr/lib/snapd/snapd
root        1125  0.0  0.0  19636  9908 ?        Ss   déc.01   0:00 /usr/lib/systemd/systemd-logind
_chrony     1266  0.0  0.0  11980  3580 ?        S    déc.01   0:00 /usr/sbin/chronyd -n -F 1
root        1307  0.0  0.0 485884 21868 ?        Ssl  déc.01   0:03 /usr/sbin/NetworkManager --no-daemon
root        1310  0.0  0.0 317460 12708 ?        Ssl  déc.01   0:00 /usr/sbin/ModemManager
root        1311  0.0  0.0 309752  7928 ?        Ssl  déc.01   0:00 /usr/libexec/boltd
root        1333  0.0  0.0      0     0 ?        S<   déc.01   0:00 [krfcommd]
root        1856  0.0  0.0  18840 12820 ?        Ss   déc.01   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1875  0.0  0.1 166404 25852 ?        Ssl  déc.01   0:00 /usr/bin/sddm
root        1877  0.0  0.2 2465772 50212 ?       Ssl  déc.01   0:14 /usr/bin/containerd
root        1888  1.0  0.8 26214536 216352 tty2  Ssl+ déc.01  16:58 /usr/lib/xorg/Xorg -nolisten tcp -background none -seat seat0 vt2 -auth /run/sddm/xauth_PTzwbL -noreset -displayfd 16
root        1906  0.0  0.0      0     0 ?        S    déc.01   0:00 [irq/211-nvidia]
root        1908  0.0  0.0      0     0 ?        S    déc.01   0:00 [nv_queue]
systemd+    1933  0.0  0.0  18640  8020 ?        Ss   déc.01   0:05 /usr/lib/systemd/systemd-oomd
rtkit       2031  0.0  0.0  21492  3196 ?        SNsl déc.01   0:00 /usr/libexec/rtkit-daemon
root        2063  0.0  0.3 2582928 90964 ?       Ssl  déc.01   0:03 /usr/sbin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2080  0.0  0.0      0     0 ?        I<   déc.01   0:00 [kworker/R-iprt-VBoxWQueue]
root        2081  0.0  0.0      0     0 ?        S    déc.01   0:00 [iprt-VBoxTscThread]
root        2380  0.0  0.1  92712 26648 ?        S    déc.01   0:00 /usr/lib/x86_64-linux-gnu/sddm/sddm-helper --socket /tmp/sddm-auth-80a54018-5250-40af-927f-acebd92d2b42 --id 1 --start /usr/bin/gnome-session --user nyx
nyx         2393  0.0  0.0  25024 15920 ?        Ss   déc.01   0:00 /usr/lib/systemd/systemd --user
nyx         2395  0.0  0.0  24148  4012 ?        S    déc.01   0:00 (sd-pam)
nyx         2415  0.0  0.0  10964  8368 ?        Ss   déc.01   0:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
nyx         2416  0.0  0.0 118496 18204 ?        S<sl déc.01   0:05 /usr/bin/pipewire
nyx         2418  0.0  0.0  84844  5376 ?        Ssl  déc.01   0:00 /usr/bin/pipewire -c filter-chain.conf
nyx         2419  0.0  0.0 396592 11272 ?        SLsl déc.01   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
nyx         2420  0.0  0.0   8308  4692 ?        Ss   déc.01   0:00 /usr/bin/mpris-proxy
nyx         2421  0.0  0.1 684468 36332 ?        S<sl déc.01   0:17 /usr/bin/wireplumber
nyx         2422  0.0  0.0 130920 23640 ?        S<sl déc.01   0:35 /usr/bin/pipewire-pulse
nyx         2447  0.0  0.2 508804 59532 ?        SLl  déc.01   0:02 /usr/bin/kwalletd6 --pam-login 13 14
nyx         2448  0.0  0.0 268328 15004 ?        Sl   déc.01   0:00 /usr/libexec/gnome-session-binary
nyx         2510  0.0  0.0  10552  1772 ?        Ss   déc.01   0:00 /usr/bin/ssh-agent /usr/bin/im-launch /usr/bin/gnome-session
nyx         2538  0.0  0.0 381216  7796 ?        Ssl  déc.01   0:00 /usr/libexec/at-spi-bus-launcher
nyx         2545  0.0  0.0   8836  5236 ?        S    déc.01   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 12 --address=unix:path=/run/user/1000/at-spi/bus_0
nyx         2558  0.0  0.0  97448  7228 ?        Ssl  déc.01   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
nyx         2559  0.0  0.0  87228  5132 ?        Ssl  déc.01   0:00 /usr/libexec/gnome-session-ctl --monitor
nyx         2560  0.0  0.0  10552  6516 ?        Ss   déc.01   0:00 /usr/bin/ssh-agent -D
nyx         2569  0.0  0.0 313180  8636 ?        Ssl  déc.01   0:00 /usr/libexec/gvfsd
nyx         2578  0.0  0.0 398504  7424 ?        Sl   déc.01   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
nyx         2580  0.0  0.0 556024 16948 ?        Ssl  déc.01   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
root        2636  0.0  0.0 626004  8340 ?        Ssl  déc.01   0:00 /usr/sbin/pcscd --foreground --auto-exit
nyx         2637  0.0  0.0 165576  6392 ?        Ssl  déc.01   0:00 /usr/libexec/dconf-service
nyx         2638  2.8  2.4 5526612 592336 ?      RLsl déc.01  43:55 /usr/bin/gnome-shell
nyx         2670  0.0  0.9 2168404 223408 ?      Sl   déc.01   0:26 /usr/libexec/mutter-x11-frames
nyx         2676  0.0  0.0 168836  7804 ?        Sl   déc.01   0:01 /usr/libexec/at-spi2-registryd --use-gnome-session
colord      2677  0.0  0.0 317432 15372 ?        Ssl  déc.01   0:00 /usr/libexec/colord
nyx         2693  0.0  0.0 778940 21440 ?        Ssl  déc.01   0:01 /usr/libexec/xdg-desktop-portal
nyx         2704  0.0  0.0 309168  6992 ?        Ssl  déc.01   0:00 /usr/libexec/xdg-permission-store
nyx         2709  0.0  0.0 687640  9032 ?        Ssl  déc.01   0:00 /usr/libexec/xdg-document-portal
root        2715  0.0  0.0   2592  2076 ?        Ss   déc.01   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
nyx         2738  0.0  0.0 662756 23288 ?        Sl   déc.01   0:00 /usr/libexec/gnome-shell-calendar-server
nyx         2745  0.0  0.2 1301284 62488 ?       Ssl  déc.01   0:00 /usr/libexec/evolution-source-registry
nyx         2758  0.0  0.1 2733320 32072 ?       Sl   déc.01   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
root        2760  0.0  0.0 320680 12744 ?        Ssl  déc.01   0:02 /usr/libexec/upowerd
nyx         2783  0.0  0.0 385836 12000 ?        Ssl  déc.01   0:14 /usr/bin/ibus-daemon --panel disable --xim
nyx         2784  0.0  0.0 242856  7280 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-a11y-settings
nyx         2787  0.0  0.1 352564 32192 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-color
nyx         2789  0.0  0.0 254224 10740 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-datetime
nyx         2790  0.0  0.0 383868  8940 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-housekeeping
nyx         2791  0.0  0.1 490456 31780 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-keyboard
nyx         2793  0.0  0.1 715028 35972 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-media-keys
nyx         2794  0.0  0.1 639800 35988 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-power
nyx         2796  0.0  0.0 320668 11492 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-print-notifications
nyx         2799  0.0  0.0 455992  7488 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-rfkill
nyx         2801  0.0  0.0 168712  6912 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-screensaver-proxy
nyx         2802  0.0  0.0 401076 12780 ?        Ssl  déc.01   0:01 /usr/libexec/gsd-sharing
nyx         2806  0.0  0.0 394796 13916 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-smartcard
nyx         2809  0.0  0.0 253716  9756 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-sound
nyx         2813  0.0  0.0 383240  7792 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-usb-protection
nyx         2814  0.0  0.1 278764 32552 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-wacom
nyx         2816  0.0  0.1 351444 32120 ?        Ssl  déc.01   0:00 /usr/libexec/gsd-xsettings
nyx         2847  0.0  0.3 1062512 88948 ?       Sl   déc.01   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
nyx         2854  0.0  0.1 285564 41984 ?        Sl   déc.01   0:00 /usr/bin/xfce4-notes
nyx         2857  0.0  0.3 551432 81780 ?        Sl   déc.01   0:02 /usr/bin/kdeconnectd
nyx         2861  0.0  0.0 306244  7420 ?        Sl   déc.01   0:00 /usr/libexec/gsd-disk-utility-notify
nyx         2862  0.0  0.1 282540 39920 ?        Sl   déc.01   0:06 /usr/bin/xfce4-screensaver
nyx         2950  0.0  0.0 413404 15352 ?        Sl   déc.01   0:00 /usr/libexec/gsd-printer
nyx         2956  0.0  0.1 2805476 29676 ?       Sl   déc.01   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
nyx         2961  0.0  0.0 243176  7684 ?        Sl   déc.01   0:00 /usr/libexec/ibus-dconf
root        2963  0.0  0.0 544664 15828 ?        Ssl  déc.01   0:01 /usr/libexec/udisks2/udisksd
nyx         2965  0.0  0.1 360520 41184 ?        Sl   déc.01   0:03 /usr/libexec/ibus-extension-gtk3
nyx         2984  0.0  0.0 178896 12992 ?        Sl   déc.01   0:00 /usr/libexec/ibus-x11 --kill-daemon
nyx         3012  0.0  0.0 308788  7848 ?        Sl   déc.01   0:00 /usr/libexec/ibus-portal
nyx         3028  0.0  0.0 391396 12032 ?        Ssl  déc.01   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
nyx         3070  0.0  0.0 390012  9048 ?        Ssl  déc.01   0:00 /usr/libexec/gvfs-afc-volume-monitor
nyx         3077  0.0  0.0 308132  6832 ?        Ssl  déc.01   0:00 /usr/libexec/gvfs-goa-volume-monitor
nyx         3082  0.0  0.1 463596 30596 ?        Sl   déc.01   0:00 /usr/libexec/goa-daemon
nyx         3095  0.0  0.0 387956  9876 ?        Sl   déc.01   0:00 /usr/libexec/goa-identity-service
nyx         3102  0.0  0.0 309120  7440 ?        Ssl  déc.01   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
nyx         3111  0.0  0.0 308164  7112 ?        Ssl  déc.01   0:00 /usr/libexec/gvfs-mtp-volume-monitor
nyx         3114  0.0  0.1 967884 26396 ?        Ssl  déc.01   0:00 /usr/libexec/evolution-calendar-factory
nyx         3125  0.0  0.1 900008 45536 ?        SNsl déc.01   0:19 /usr/libexec/localsearch-3
nyx         3126  0.0  0.5 1347560 140804 ?      Ssl  déc.01   0:02 /usr/libexec/xdg-desktop-portal-gnome
nyx         3150  0.0  0.1 827996 31348 ?        Ssl  déc.01   0:00 /usr/libexec/evolution-addressbook-factory
root        3212  0.0  0.0 309580  7928 ?        Ssl  déc.01   0:00 /usr/libexec/power-profiles-daemon
nyx         3217  0.0  0.0 169436  8064 ?        Sl   déc.01   0:03 /usr/libexec/ibus-engine-simple
nyx         3271  0.0  0.2 591308 57472 ?        Ssl  déc.01   0:07 /usr/bin/Thunar --daemon
nyx         3273  0.0  0.1 490532 31832 ?        Ssl  déc.01   0:00 /usr/libexec/xdg-desktop-portal-gtk
nyx         3289  0.0  0.0 387884  9840 ?        Sl   déc.01   0:00 /usr/libexec/gvfsd-recent --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
nyx         3291  0.0  0.0 534784  9684 ?        Sl   déc.01   0:00 /usr/libexec/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/1
nyx         3316  0.0  0.2 2992884 70260 ?       Sl   déc.01   0:04 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
nyx         3347  0.0  0.0 169192  7216 ?        Ssl  déc.01   0:00 /usr/libexec/gvfsd-metadata
nyx         8419  0.0  1.0 1459801884 263244 ?   SLl  déc.01   1:01 /usr/share/discord/Discord
nyx         8424  0.0  0.1 34064672 48676 ?      S    déc.01   0:00 /usr/share/discord/Discord --type=zygote --no-zygote-sandbox
nyx         8425  0.0  0.1 34064660 48324 ?      S    déc.01   0:00 /usr/share/discord/Discord --type=zygote
nyx         8427  0.0  0.0 34064688 12964 ?      S    déc.01   0:00 /usr/share/discord/Discord --type=zygote
nyx         8443  0.0  0.0 33576012 3600 ?       Sl   déc.01   0:00 /usr/share/discord/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/nyx/.config/discord/Crashpad --url=https://f.a.k/e --annotation=_productName=discord --annotation=_version=0.0.116 --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=37.6.0 --initial-client-fd=40 --shared-client-connection
